candidate,cost_status,age_coverage_fit,exact_true_age_fit,child_bins_fit,rights_risk,web_display_risk,current_verdict,notes
FG-NET Aging Database,free/requested access,medium,likely yes,medium,medium,unknown,terms review candidate,"Small; repeated identities; may help pilot child/adult bins if display allowed"
APPA-REAL / ChaLearn apparent-age datasets,free/research access,medium,verify,unknown,medium,unknown,terms review candidate,"Relevant to age perception; must confirm true age vs apparent age and display rights"
Chicago Face Database / controlled adult face sets,free/research access,adult-only,verify,no,low-to-medium,unknown,adult-bin candidate,"Useful only for adult bins if exact age and web display are allowed"
FACES-style adult lifespan datasets,free/requested access,adult/older,verify,no,low-to-medium,unknown,adult-bin candidate,"Controlled adult images; access and display terms likely need application"
AFAD-style age dataset,free/research access,teen/adult,likely yes,weak,medium,unknown,teen/adult candidate,"Potential exact ages but limited coverage/demographics; rights need review"
UTKFace-style dataset,free download,high,yes labels,high,high,high,reject for deployment,"Broad ages but web-collected/provenance and child rights unclear"
IMDB-WIKI,free download,adult-heavy/noisy,labels noisy,weak,high,high,reject for MVP,"Celebrity bias; noisy labels; rights concerns"
CACD / CACD2000,free/research,adult-heavy,labels noisy,no,high,high,reject for MVP,"Celebrity dataset; recognition and rights concerns"
AgeDB,free/research,adult-heavy,yes labels,no,high,high,reject for MVP,"Celebrity/public figure images; not suitable for unbiased MVP"
Adience,free/research,age-bin only,no,limited,medium,unknown,reject primary,"Age bins only; cannot compute exact absolute error"
FairFace,free/research,age-bin only,no,limited,medium,unknown,reject primary,"Age bins only; useful benchmark but not primary research source"
MORPH-style datasets,restricted/not clearly free,adult-heavy,yes,weak,medium,unknown,not free primary,"Potential adult source only if access and display rights are available"
AI-generated faces,n/a,n/a,no real age,n/a,n/a,n/a,reject,"No real chronological age; changes research question"
